Parametros;MAE;MSE;R2
NBR_4,4,4,4;0.0156;0.0020;0.0020
NBR_4,4,4,5;0.0157;0.0020;0.0024
NBR_4,4,4,6;0.0157;0.0020;0.0024
NBR_4,4,5,4;0.0156;0.0020;0.0020
NBR_4,4,5,5;0.0157;0.0020;0.0024
NBR_4,4,5,6;0.0157;0.0020;0.0024
NBR_4,4,6,4;0.0156;0.0020;0.0020
NBR_4,4,6,5;0.0157;0.0020;0.0024
NBR_4,4,6,6;0.0157;0.0020;0.0024
NBR_4,5,4,4;0.0156;0.0020;0.0020
NBR_4,5,4,5;0.0157;0.0020;0.0024
NBR_4,5,4,6;0.0157;0.0020;0.0024
NBR_4,5,5,4;0.0156;0.0020;0.0020
NBR_4,5,5,5;0.0157;0.0020;0.0024
NBR_4,5,5,6;0.0157;0.0020;0.0024
NBR_4,5,6,4;0.0156;0.0020;0.0020
NBR_4,5,6,5;0.0157;0.0020;0.0024
NBR_4,5,6,6;0.0157;0.0020;0.0024
NBR_4,6,4,4;0.0156;0.0020;0.0020
NBR_4,6,4,5;0.0157;0.0020;0.0024
NBR_4,6,4,6;0.0157;0.0020;0.0024
NBR_4,6,5,4;0.0156;0.0020;0.0020
NBR_4,6,5,5;0.0157;0.0020;0.0024
NBR_4,6,5,6;0.0157;0.0020;0.0024
NBR_4,6,6,4;0.0156;0.0020;0.0020
NBR_4,6,6,5;0.0157;0.0020;0.0024
NBR_4,6,6,6;0.0157;0.0020;0.0024
NBR_5,4,4,4;0.0156;0.0020;0.0020
NBR_5,4,4,5;0.0157;0.0020;0.0024
NBR_5,4,4,6;0.0157;0.0020;0.0024
NBR_5,4,5,4;0.0156;0.0020;0.0020
NBR_5,4,5,5;0.0157;0.0020;0.0024
NBR_5,4,5,6;0.0157;0.0020;0.0024
NBR_5,4,6,4;0.0156;0.0020;0.0020
NBR_5,4,6,5;0.0157;0.0020;0.0024
NBR_5,4,6,6;0.0157;0.0020;0.0024
NBR_5,5,4,4;0.0156;0.0020;0.0020
NBR_5,5,4,5;0.0157;0.0020;0.0024
NBR_5,5,4,6;0.0157;0.0020;0.0024
NBR_5,5,5,4;0.0156;0.0020;0.0020
NBR_5,5,5,5;0.0157;0.0020;0.0024
NBR_5,5,5,6;0.0157;0.0020;0.0024
NBR_5,5,6,4;0.0156;0.0020;0.0020
NBR_5,5,6,5;0.0157;0.0020;0.0024
NBR_5,5,6,6;0.0157;0.0020;0.0024
NBR_5,6,4,4;0.0156;0.0020;0.0020
NBR_5,6,4,5;0.0157;0.0020;0.0024
NBR_5,6,4,6;0.0157;0.0020;0.0024
NBR_5,6,5,4;0.0156;0.0020;0.0020
NBR_5,6,5,5;0.0157;0.0020;0.0024
NBR_5,6,5,6;0.0157;0.0020;0.0024
NBR_5,6,6,4;0.0156;0.0020;0.0020
NBR_5,6,6,5;0.0157;0.0020;0.0024
NBR_5,6,6,6;0.0157;0.0020;0.0024
NBR_6,4,4,4;0.0156;0.0020;0.0020
NBR_6,4,4,5;0.0157;0.0020;0.0024
NBR_6,4,4,6;0.0157;0.0020;0.0024
NBR_6,4,5,4;0.0156;0.0020;0.0020
NBR_6,4,5,5;0.0157;0.0020;0.0024
NBR_6,4,5,6;0.0157;0.0020;0.0024
NBR_6,4,6,4;0.0156;0.0020;0.0020
NBR_6,4,6,5;0.0157;0.0020;0.0024
NBR_6,4,6,6;0.0157;0.0020;0.0024
NBR_6,5,4,4;0.0156;0.0020;0.0020
NBR_6,5,4,5;0.0157;0.0020;0.0024
NBR_6,5,4,6;0.0157;0.0020;0.0024
NBR_6,5,5,4;0.0156;0.0020;0.0020
NBR_6,5,5,5;0.0157;0.0020;0.0024
NBR_6,5,5,6;0.0157;0.0020;0.0024
NBR_6,5,6,4;0.0156;0.0020;0.0020
NBR_6,5,6,5;0.0157;0.0020;0.0024
NBR_6,5,6,6;0.0157;0.0020;0.0024
NBR_6,6,4,4;0.0156;0.0020;0.0020
NBR_6,6,4,5;0.0157;0.0020;0.0024
NBR_6,6,4,6;0.0157;0.0020;0.0024
NBR_6,6,5,4;0.0156;0.0020;0.0020
NBR_6,6,5,5;0.0157;0.0020;0.0024
NBR_6,6,5,6;0.0157;0.0020;0.0024
NBR_6,6,6,4;0.0156;0.0020;0.0020
NBR_6,6,6,5;0.0157;0.0020;0.0024
NBR_6,6,6,6;0.0157;0.0020;0.0024
